Proteins,3S_1,3S_2,3S_3,3S_4,4Y_1,4Y_2,4Y_3,4Y_4,8ala_1,8ala_2,8ala_3,8ala_4,9S_1,9S_2,9S_3,9S_4,Ex4_1,Ex4_2,Ex4_3,Ex4_4,FY_1,FY_2,FY_3,FY_4,L14A_1,L14A_2,L14A_3,L14A_4,WT_1,WT_2,WT_3,WT_4
A0FGR8,21005.86371,17861.73839,19956.65081,12498.25352,21314.16534,17932.70817,16919.80076,13827.32999,14254.95753,15160.83237,22365.62104,14557.91451,25693.93551,17337.72272,19195.1346,13681.19823,13560.73381,16178.44105,23739.0959,13748.50738,21436.74341,14927.17252,14802.25789,13114.54987,12071.28227,15631.5696,18078.51723,12421.01868,12544.69397,15434.61676,20885.29584,14627.12096
A1L0T0,45505.17731,53433.4157,8991.343406,24498.34312,39560.82214,40970.9726,7770.928489,24264.1537,30060.4175,44680.51742,9767.025994,30940.29715,43872.04171,44763.56513,8206.389302,30401.02324,35485.36166,50068.70885,9230.315365,28626.8237,35608.17101,44396.62409,9295.358537,23248.81847,32028.59734,43454.76328,9393.739347,25863.1213,31465.67104,46665.31005,7921.117182,30960.09052
